# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043532385e-10       7.653263660883e-15       2.380572466136e-13       6.776159236174e-17       9.046338871103e-11       9.751315812550e-12      -8.351246094333e-15 
   41       1.670017822494e-10       8.304886779214e-15       2.284586254777e-13       7.119228914350e-17       8.598777927339e-11       9.311592909587e-12      -6.389560879919e-15 
   42       1.694089274351e-10       8.995242780693e-15       2.178260472429e-13       7.471054957423e-17       8.180192045658e-11       8.896431762189e-12      -5.644107557425e-15 
   43       1.718349342213e-10       9.723866985743e-15       2.060482385604e-13       7.831659219454e-17       7.789473297915e-11       8.506510837419e-12      -5.882707219565e-15 
   44       1.742868950719e-10       1.048997092777e-14       1.929917450004e-13       8.201063323276e-17       7.423783279273e-11       8.141180050695e-12      -6.802859396536e-15 
   45       1.767695089892e-10       1.129272580404e-14       1.785110677259e-13       8.579284946465e-17       7.079567613204e-11       7.798904464545e-12      -8.072933882316e-15 
   46       1.792845498885e-10       1.213225975576e-14       1.624863341570e-13       8.966325458120e-17       6.756285813622e-11       7.479022674575e-12      -9.481082872244e-15 
   47       1.818307980450e-10       1.300892562019e-14       1.447942568725e-13       9.362178511668e-17       6.453562141844e-11       7.180319856069e-12      -1.082315889275e-14 
   48       1.844038501868e-10       1.392302192623e-14       1.252965751281e-13       9.766833145887e-17       6.170060570548e-11       6.900435566857e-12      -1.185902938484e-14 
   49       1.869958554273e-10       1.487479087212e-14       1.038391801937e-13       1.018027352985e-16       5.903413368664e-11       6.635781679037e-12      -1.231068924263e-14 
   50       1.895987295744e-10       1.586442718662e-14       8.029467181014e-14       1.060247836103e-16       5.650934389863e-11       6.382582660378e-12      -1.195046242521e-14 
   51       1.922154392733e-10       1.689211223950e-14       5.470567484438e-14       1.103341945884e-16       5.412152873383e-11       6.140519707022e-12      -1.089821021835e-14 
   52       1.948513243600e-10       1.795798569432e-14       2.717891241268e-14       1.147306234840e-16       5.186843969403e-11       5.909933909349e-12      -9.401534202933e-15 
   53       1.975107891920e-10       1.906213396002e-14      -2.153683785100e-15       1.192136630912e-16       4.974270477506e-11       5.690761797608e-12      -7.755034357684e-15 
   54       2.001972022695e-10       2.020458868077e-14      -3.313380431055e-14       1.237828410327e-16       4.773148358802e-11       5.482506090086e-12      -6.302661083489e-15 
   55       2.029129381848e-10       2.138534239745e-14      -6.561526088329e-14       1.284376719695e-16       4.582038617786e-11       5.284465700541e-12      -5.357171382510e-15 
   56       2.056597456341e-10       2.260440354748e-14      -9.959336117744e-14       1.331778356347e-16       4.400715958528e-11       5.096559685038e-12      -4.929678191761e-15 
   57       2.084382950063e-10       2.386175248306e-14      -1.351056256353e-13       1.380030382739e-16       4.229079723842e-11       4.918656744315e-12      -4.937035053326e-15 
   58       2.112479512945e-10       2.515732467390e-14      -1.721953034430e-13       1.429129610347e-16       4.066739827588e-11       4.750315163878e-12      -5.277986972388e-15 
   59       2.140866792624e-10       2.649100986615e-14      -2.109117488844e-13       1.479072593935e-16       3.912998878612e-11       4.590763663180e-12      -5.832292733333e-15 
   60       2.169509486106e-10       2.786265124127e-14      -2.513107976939e-13       1.529855625813e-16       3.766834304667e-11       4.438882244798e-12      -6.459847215855e-15 
   61       2.198372229503e-10       2.927198883696e-14      -2.934433044318e-13       1.581475518004e-16       3.627182359779e-11       4.293505599647e-12      -7.029628191649e-15 
   62       2.227470318176e-10       3.071847687207e-14      -3.373168965931e-13       1.633932166885e-16       3.493905080987e-11       4.154456229101e-12      -7.516114896867e-15 
   63       2.256828740239e-10       3.220142373918e-14      -3.829262645753e-13       1.687226556645e-16       3.367009641780e-11       4.021710290099e-12      -7.923052670666e-15 
   64       2.286466906124e-10       3.372004156645e-14      -4.302642438241e-13       1.741360041054e-16       3.246357487845e-11       3.895086762255e-12      -8.255605487169e-15 
   65       2.316398202763e-10       3.527344360804e-14      -4.793218155454e-13       1.796334362720e-16       3.131656039526e-11       3.774238531496e-12      -8.520424579784e-15 
   66       2.346629547790e-10       3.686064163450e-14      -5.300881074170e-13       1.852151672353e-16       3.022450394294e-11       3.658643473699e-12      -8.725717065524e-15 
   67       2.377160943733e-10       3.848054332309e-14      -5.825503943002e-13       1.908814548023e-16       2.918115029206e-11       3.547595538336e-12      -8.881314569326e-15 
   68       2.407990149076e-10       4.013207039231e-14      -6.366940426477e-13       1.966325896025e-16       2.818020882061e-11       3.440402827467e-12      -8.997651660577e-15 
   69       2.439128787053e-10       4.181454663461e-14      -6.925023290556e-13       2.024688587096e-16       2.722094455523e-11       3.337048370241e-12      -9.082307399281e-15 
   70       2.470588715051e-10       4.352738418254e-14      -7.499565860550e-13       2.083905780745e-16       2.630357616683e-11       3.237647836147e-12      -9.142883075980e-15 
   71       2.502376887247e-10       4.526997019135e-14      -8.090362544471e-13       2.143981053070e-16       2.542758498343e-11       3.142250828795e-12      -9.188070407238e-15 
   72       2.534495039669e-10       4.704166731744e-14      -8.697188825753e-13       2.204918412994e-16       2.459167686867e-11       3.050837263551e-12      -9.227692277913e-15 
   73       2.566939375256e-10       4.884181419683e-14      -9.319801255968e-13       2.266722318490e-16       2.379374410039e-11       2.963313745183e-12      -9.272743483439e-15 
   74       2.599700248916e-10       5.066972592368e-14      -9.957937447539e-13       2.329397692819e-16       2.303082724909e-11       2.879509945490e-12      -9.335431472104e-15 
   75       2.632761852586e-10       5.252469452866e-14      -1.061131606646e-12       2.392949940762e-16       2.229907705648e-11       2.799174980949e-12      -9.429217087327e-15 
