# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645046237215e-10       7.586006475025e-15       2.382561856334e-13       0.000000000000e+00       9.046338871103e-11       9.751315812550e-12      -8.351246094333e-15 
   41       1.668978696381e-10       8.234293974073e-15       2.286722622959e-13       0.000000000000e+00       8.598777927339e-11       9.311592909587e-12      -6.389560879919e-15 
   42       1.693007833700e-10       8.921239585941e-15       2.180548508417e-13       0.000000000000e+00       8.180192045658e-11       8.896431762189e-12      -5.644107557425e-15 
   43       1.717225131458e-10       9.646379552278e-15       2.062926246774e-13       0.000000000000e+00       7.789473297915e-11       8.506510837419e-12      -5.882707219565e-15 
   44       1.741701543360e-10       1.040892638990e-14       1.932520678693e-13       0.000000000000e+00       7.423783279273e-11       8.141180050695e-12      -6.802859396536e-15 
   45       1.766484087953e-10       1.120805239219e-14       1.787876115061e-13       0.000000000000e+00       7.079567613204e-11       7.798904464545e-12      -8.072933882316e-15 
   46       1.791590526975e-10       1.204388707458e-14       1.627793042101e-13       0.000000000000e+00       6.756285813622e-11       7.479022674575e-12      -9.481082872244e-15 
   47       1.817008683736e-10       1.291678481381e-14       1.451037705008e-13       0.000000000000e+00       6.453562141844e-11       7.180319856069e-12      -1.082315889275e-14 
   48       1.842694545535e-10       1.382704580355e-14       1.256226518739e-13       0.000000000000e+00       6.170060570548e-11       6.900435566857e-12      -1.185902938484e-14 
   49       1.868569622967e-10       1.477491403682e-14       1.041817317635e-13       0.000000000000e+00       5.903413368664e-11       6.635781679037e-12      -1.231068924263e-14 
